session_id,taskID,first_number,second_number,operation,result,difficulty,tries,taskComplete,responseTime,choiceTime 
julia,553,28884,77,addition,28961,3,0,True,12100,2400
julia,712,63,10,subtraction,53,1,0,True,2600,1700
julia,106,84,6,division,14,3,1,True,18400,1700
julia,555,44,69,addition,113,3,0,True,4200,3900
julia,694,43,3,subtraction,40,1,0,True,2500,2300
julia,728,385,80,subtraction,305,1,0,True,3000,4700
julia,348,36,3,multiplication,108,3,0,True,6300,1600
julia,557,75573,31,addition,75604,3,0,True,7900,6600
julia,554,85,78,addition,163,3,0,True,4700,1500
julia,485,14,12,addition,26,1,0,True,2100,1600
julia,795,93,35,subtraction,58,3,0,True,6300,3500
julia,454,10,25,addition,35,1,0,True,1700,2300
julia,337,130,8,multiplication,1040,3,0,True,5000,3100
julia,599,84178,8210,addition,92388,4,0,True,23400,4500
julia,369,88,9,multiplication,792,4,0,True,7800,2300
julia,541,93,27,addition,120,2,1,True,14200,1800
julia,792,940,770,subtraction,170,3,0,True,10100,2700
julia,120,8600,4,division,2150,3,1,True,34100,800
julia,16,8,4,division,2,1,0,True,2000,3100
julia,790,596,559,subtraction,37,3,0,True,22100,3200
julia,479,32,7,addition,39,1,0,True,2800,2200
julia,561,36490,59,addition,36549,3,2,True,21200,3300
julia,331,51,9,multiplication,459,3,0,True,5100,1800
julia,687,9,6,subtraction,3,1,0,True,2100,1300
julia,122,816,4,division,204,3,0,True,4700,2100
julia,729,660,60,subtraction,600,1,0,True,3300,1500
julia,572,98,38,addition,136,3,0,True,11800,900
julia,108,90,15,division,6,3,0,True,4700,5900
julia,264,4,50,multiplication,200,1,0,True,3500,1500
julia,566,42370,46,addition,42416,3,0,True,6900,1600
julia,35,82,41,division,2,1,0,True,1600,1300
julia,801,770,380,subtraction,390,3,1,True,16500,1400
julia,695,10,7,subtraction,3,1,0,True,2300,1400
onur,364,87,8,multiplication,696,4,3,False,5900,3800
onur,330,17,4,multiplication,68,3,0,True,4500,1400
onur,810,6366,4316,subtraction,2050,3,0,True,13400,7900
onur,465,12,7,addition,19,1,0,True,1400,1600
test,330,17,4,multiplication,68,3,0,True,7000,6800
test,102,91,7,division,13,3,0,True,3600,2000
test,564,76,97,addition,173,3,1,True,13800,1600
julia,341,13,8,multiplication,104,3,0,True,6200,1600
julia,228,10,33,multiplication,330,1,0,True,2600,109900
julia,110,64,4,division,16,3,0,True,10900,3400
julia,719,700,500,subtraction,200,1,0,True,2700,1100
julia,26,1790,179,division,10,1,0,True,2100,3700
julia,746,37,8,subtraction,29,2,0,True,2400,2400
julia,783,43,28,subtraction,15,3,0,True,5900,1600
julia,123,438,2,division,219,3,0,True,7100,1500
julia,267,13,2,multiplication,26,1,0,True,2400,1500
julia,262,2,25,multiplication,50,1,0,True,2200,1600
julia,86,9090,9,division,1010,2,0,True,5300,2600
julia,773,54,8,subtraction,46,2,0,True,4200,1800
julia,107,105,5,division,21,3,0,True,2600,1900
julia,42,100,2,division,50,1,0,True,2600,3200
julia,562,93,68,addition,161,3,0,True,5100,1500
julia,265,80,2,multiplication,160,1,0,True,2200,1600
julia,349,121,7,multiplication,847,3,3,False,5900,1900
julia,81,6880,20,division,344,2,0,True,5900,2200
julia,538,28,92,addition,120,2,0,True,5200,1300
julia,788,497,448,subtraction,49,3,0,True,13000,3700
julia,342,13,9,multiplication,117,3,0,True,14900,900
julia,8,30,5,division,6,1,0,True,2100,1400
julia,574,66342,116,addition,66458,3,0,True,10200,1200
julia,103,42,14,division,3,3,0,True,6900,1400
julia,339,126,5,multiplication,630,3,0,True,14200,1700
julia,681,7,5,subtraction,2,1,0,True,2400,2200
julia,785,71,64,subtraction,7,3,0,True,7100,4500
julia,804,109,95,subtraction,14,3,0,True,6800,5900
julia,102,91,7,division,13,3,0,True,3000,1500
julia,458,70,14,addition,84,1,0,True,4100,1600
julia,452,10,81,addition,91,1,0,True,1800,900
julia,620,32174,3608,addition,35782,5,0,True,17400,6400
julia,732,97,4,subtraction,93,2,0,True,4200,1700
julia,363,74,9,multiplication,666,4,0,True,27000,1200
julia,602,1735,570,addition,2305,4,0,True,13400,2200
julia,633,16699,408,addition,17107,6,0,True,13800,6200
julia,610,25317,805,addition,26122,5,3,False,59000,2000
julia,604,62809,946,addition,63755,5,0,True,11600,7400
julia,577,9832,260,addition,10092,4,0,True,17400,1700
julia,826,623,341,subtraction,282,4,0,True,23600,4400
julia,605,5726,949,addition,6675,5,0,True,29000,2900
julia,508,52,65,addition,117,2,0,True,4200,2100
julia,618,91960,5911,addition,97871,5,0,True,18700,3900
julia,168,7300,5,division,1460,5,0,True,9400,2200
julia,840,45369,980,subtraction,44389,5,2,True,51600,1200
julia,386,146,8,multiplication,1168,5,1,True,46500,3100
julia,232,2,3,multiplication,6,1,0,True,1400,3400
julia,23,9820,982,division,10,1,0,True,2000,600
julia,514,83,43,addition,126,2,0,True,4200,2300
julia,330,17,4,multiplication,68,3,0,True,4800,2700
julia,119,1240,2,division,620,3,0,True,13900,1100
julia,467,6,6,addition,12,1,0,True,2300,1400
julia,573,42,89,addition,131,3,0,True,7400,2700
julia,233,2,4,multiplication,8,1,0,True,2100,2200
julia,101,78,6,division,13,3,0,True,5600,1200
julia,293,51,5,multiplication,255,2,0,True,7300,700
julia,278,6,9,multiplication,54,2,0,True,4900,1700
julia,270,31,2,multiplication,62,1,0,True,2100,1700
julia,125,8400,6,division,1400,3,1,True,35400,1500
julia,802,72,35,subtraction,37,3,0,True,6300,1800
julia,797,16050,430,subtraction,15620,3,1,True,22700,1700
julia,332,52,3,multiplication,156,3,0,True,6600,1600
julia,117,130,5,division,26,3,0,True,3400,14600
julia,127,3260,2,division,1630,3,0,True,7800,1400
julia,253,20,5,multiplication,100,1,1,True,10100,1200
julia,350,123,3,multiplication,369,3,0,True,6600,2200
julia,464,6,3,addition,9,1,0,True,1300,1600
julia,809,85296,53121,subtraction,32175,3,0,True,20100,1100
julia,223,10,70,multiplication,70,1,3,False,24900,1600
julia,462,4,5,addition,9,1,0,True,4800,38600
julia,793,394,368,subtraction,26,3,0,True,7900,1400
julia,255,60,2,multiplication,120,1,0,True,2000,1500
julia,368,84,7,multiplication,588,4,0,True,10100,1600
julia,153,3081,3,division,1027,4,0,True,4000,1200
julia,324,22,8,multiplication,176,3,0,True,4200,3400
julia,370,86,9,multiplication,774,4,0,True,9400,3000
julia,578,4173,283,addition,4456,4,1,True,24200,1100
julia,571,91180,74,addition,91254,3,0,True,12000,1900
julia,720,800,200,subtraction,600,1,0,True,1800,800
julia,263,150,2,multiplication,300,1,0,True,2800,1100
julia,800,906,76,subtraction,830,3,0,True,5000,2100
julia,545,65,78,addition,143,3,3,False,5600,1000
julia,715,35,4,subtraction,31,1,0,True,2300,3100
julia2,801,770,380,subtraction,390,3,0,True,19500,1300
julia2,253,20,5,multiplication,100,1,0,True,2400,1400
julia2,110,64,4,division,16,3,0,True,9200,9800
julia2,350,123,3,multiplication,369,3,0,True,5100,2500
julia2,787,98,19,subtraction,79,3,1,True,16900,3800
julia2,820,648,77,subtraction,571,4,0,True,15900,1700
julia2,146,340,5,division,68,4,0,True,4300,3100
julia2,743,97752,73011,subtraction,24741,2,1,True,63300,2200
julia2,380,124,6,multiplication,744,4,1,True,29900,2700
julia2,363,74,9,multiplication,666,4,0,True,36900,3500
julia2,819,138,65,subtraction,73,4,0,True,10300,2400
julia2,408,123,9,multiplication,1107,5,0,True,14100,3500
julia2,855,18807,10354,subtraction,8453,5,0,True,17100,3300
julia2,159,7800,1300,division,6,5,0,True,17400,2700
julia2,177,981,3,division,327,5,0,True,8500,15100
julia2,135,840,3,division,280,4,1,True,24000,3400
julia2,584,5241,449,addition,5690,4,0,True,11700,22800
julia2,355,98,7,multiplication,686,4,0,True,10700,2100
julia2,357,146,6,multiplication,876,4,1,True,47900,1700
julia2,117,130,5,division,26,3,0,True,3200,5700
julia2,456,30,26,addition,56,1,0,True,3300,1400
julia2,338,126,3,multiplication,378,3,1,True,31200,2000
julia2,247,4,5,multiplication,20,1,0,True,1700,1700
julia2,710,100,90,subtraction,10,1,0,True,1400,3500
julia2,173,9480,30,division,316,5,0,True,22100,4200
julia2,610,25317,805,addition,26122,5,1,True,21400,1600
julia2,794,930,240,subtraction,690,3,0,True,7600,5100
julia2,161,1035,3,division,345,5,0,True,15800,1300
julia2,402,17,17,multiplication,289,5,0,True,20000,1600
julia2,563,5733,39,addition,5772,3,1,True,26800,2200
ilona,692,46,2,subtraction,44,1,0,True,8800,3000
ilona,769,4371,361,subtraction,4010,2,1,True,20400,2800
ilona,809,85296,53121,subtraction,32175,3,1,True,77200,5900
ilona,256,350,2,multiplication,700,1,0,True,5100,1400
ilona,303,801,3,multiplication,2403,2,0,True,14600,1600
ilona,786,97,59,subtraction,38,3,1,True,30700,4000
ilona,40,1300,13,division,100,1,1,True,13100,1600
ilona,752,32,15,subtraction,17,2,0,True,7400,1600
ilona,123,438,2,division,219,3,0,True,10000,2400
ilona,546,64,48,addition,112,3,0,True,6300,8900
ilona,789,96,68,subtraction,28,3,0,True,7100,1500
ilona,454,10,25,addition,35,1,0,True,4100,1600
ilona,708,1000,250,subtraction,750,1,0,True,5700,1200
ilona,236,2,7,multiplication,14,1,0,True,3600,1900
ilona,270,31,2,multiplication,62,1,0,True,5200,1200
ilona,758,80,12,subtraction,68,2,0,True,8800,2100
ilona,319,70,60,multiplication,4200,2,1,True,20300,1300
ilona,103,42,14,division,3,3,0,True,7300,4800
ilona,800,906,76,subtraction,830,3,0,True,11300,2400
ilona,33,44,22,division,2,1,0,True,3400,1200
ilona,255,60,2,multiplication,120,1,0,True,4900,2000
ilona,87,520,260,division,2,2,0,True,4800,2000
ilona,510,653,21,addition,674,2,0,True,10000,1300
ilona,524,94,52,addition,146,2,0,True,8100,1600
ilona,547,79,89,addition,168,3,0,True,11900,1400
ilona,327,16,5,multiplication,80,3,0,True,4600,1200
ilona,722,68,30,subtraction,38,1,0,True,3600,1100
ilona,447,2,23,addition,25,1,1,True,10800,1800
ilona,539,24,67,addition,91,2,0,True,7900,1100
ilona,759,40,13,subtraction,27,2,1,True,11200,1500
ilona,102,91,7,division,13,3,0,True,10600,2100
ilona,124,3720,20,division,186,3,1,True,19600,1200
ilona,569,34171,223,addition,34394,3,0,True,15300,1400
ilona,828,284,111,subtraction,173,3,1,True,14900,1600
ilona,348,36,3,multiplication,108,3,0,True,6600,4100
ilona,129,112,4,division,28,3,0,True,11200,1700
ilona,806,55,38,subtraction,17,3,0,True,11300,3200
ilona,795,93,35,subtraction,58,3,0,True,6900,4400
ilona,537,33,29,addition,62,2,1,True,15400,5400
ilona,474,9,9,addition,18,1,0,True,3400,1800
ilona,406,999,6,multiplication,5994,5,1,True,37700,8500
ilona,843,78799,73043,subtraction,5756,5,2,True,72800,1600
ilona,820,648,77,subtraction,571,4,0,True,26300,1400
ilona,337,130,8,multiplication,1040,3,3,False,42300,3200
ilona,583,1270,643,addition,1913,4,3,False,36900,6900
ilona,451,50,47,addition,97,1,0,True,5300,1000
ilona,72,52,26,division,2,2,0,True,3800,1400
ilona,283,8,7,multiplication,56,2,0,True,5800,1200
ilona,83,70,14,division,5,2,0,True,9100,2400
ilona,799,81,24,subtraction,57,3,0,True,8500,1300
ilona,64,420,6,division,70,2,0,True,13000,900
ilona,773,54,8,subtraction,46,2,0,True,4800,2600
ilona,755,415,6,subtraction,409,2,0,True,5800,1200
ilona,289,9,9,multiplication,81,2,0,True,4100,900
ilona,785,71,64,subtraction,7,3,0,True,8400,2300
ilona,347,24,6,multiplication,144,3,0,True,12600,1100
ilona,61,36,12,division,3,2,0,True,3400,1100
ilona,534,29,91,addition,120,2,0,True,6400,1200
ilona,572,98,38,addition,136,3,0,True,10200,1000
ilona,790,596,559,subtraction,37,3,3,False,49500,1100
ilona,519,86,23,addition,109,2,0,True,10700,6900
ilona,90,8800,4,division,2200,2,0,True,12300,2300
ilona,531,91,84,addition,175,2,0,True,11000,1000
ilona,52,36,9,division,4,2,0,True,4000,1100
ilona,737,743,4,subtraction,739,2,0,True,7200,2000
ilona,92,2880,2,division,1440,2,0,True,6100,1500
ilona,718,57,50,subtraction,7,1,0,True,2900,2100
ilona,792,940,770,subtraction,170,3,0,True,10300,1300
ilona,788,497,448,subtraction,49,3,0,True,10400,1300
ilona,330,17,4,multiplication,68,3,0,True,8100,1000
ilona,345,26,6,multiplication,156,3,0,True,13100,2300
ilona,699,69,10,subtraction,59,1,0,True,3900,3500
robert,253,20,5,multiplication,100,1,0,True,2100,74300
robert,116,90,5,division,18,3,0,True,3500,2400
julia,116,90,5,division,18,3,0,True,104300,1000
julia,552,96345,28,addition,96373,3,0,True,16500,2900
julia,18,9,3,division,3,1,0,True,1700,1400
julia,373,96,6,multiplication,576,4,0,True,22300,6100
julia,142,3300,6,division,550,4,0,True,7700,2200
julia,70,84,4,division,21,2,2,True,12400,1700
julia,781,44,26,subtraction,18,3,0,True,9700,1800
julia,564,76,97,addition,173,3,0,True,8000,700
julia,325,22,9,multiplication,198,3,1,True,8000,800
julia,104,56,4,division,14,3,0,True,3200,2000
julia,810,6366,4316,subtraction,2050,3,0,True,11800,8300
julia,130,460,5,division,92,4,0,True,17500,1900
julia,548,57,87,addition,144,3,0,True,7700,1300
julia,374,96,7,multiplication,672,4,0,True,17900,15900
julia,340,12,9,multiplication,108,3,0,True,8100,1100
julia,821,419,86,subtraction,333,4,0,True,10700,1600
julia,396,152,7,multiplication,1064,5,0,True,15400,1100
julia,789,96,68,subtraction,28,3,0,True,7500,1100
julia,575,559,75,addition,634,4,0,True,10500,1400
julia,612,44501,8461,addition,52962,5,0,True,17600,1100
julia,105,70,5,division,14,3,0,True,4500,800
julia,377,76,9,multiplication,684,4,0,True,11300,900
julia,169,544,4,division,136,5,0,True,10200,1000
julia,347,24,6,multiplication,144,3,0,True,10400,1200
julia,134,57,19,division,3,4,0,True,5000,1100
julia,408,123,9,multiplication,1107,5,0,True,20000,1900
julia,868,12031,5523,subtraction,6508,6,1,True,71800,1300
julia,807,470,290,subtraction,180,3,0,True,7200,1200
julia,580,2317,6469,addition,8786,4,0,True,23100,1400
julia,406,999,6,multiplication,5994,5,0,True,16900,1000
onur,334,64,3,multiplication,192,3,0,True,9600,4100
onur,818,524,182,subtraction,342,4,0,True,14800,3300
onur,801,770,380,subtraction,390,3,0,True,8800,1100
onur,363,74,9,multiplication,666,4,0,True,18500,2000
onur,573,42,89,addition,131,3,0,True,9100,700
onur,586,118,297,addition,415,4,0,True,11500,1700
onur,385,144,8,multiplication,1152,5,1,True,67300,1400
onur,104,56,4,division,14,3,3,False,23800,700
onur,345,26,6,multiplication,156,3,0,True,4900,1400
onur,580,2317,6469,addition,8786,4,0,True,14600,1400
onur,619,92275,5902,addition,98177,5,0,True,19200,1200
onur,325,22,9,multiplication,198,3,1,True,8900,800
onur,833,1765,1185,subtraction,580,4,0,True,14100,1100
onur,628,88141,598,addition,88739,5,0,True,14600,1200
onur,560,93,28,addition,121,3,0,True,5300,1000
onur,153,3081,3,division,1027,4,0,True,16500,1100
onur,613,84294,522,addition,84816,5,0,True,16300,1300
onur,803,808,58,subtraction,750,3,0,True,5500,600
onur,588,8159,333,addition,8492,4,1,True,22300,1300
onur,175,376,4,division,94,5,0,True,74800,1400
onur,134,57,19,division,3,4,0,True,2300,2000
onur,119,1240,2,division,620,3,0,True,7700,600
onur,578,4173,283,addition,4456,4,0,True,8800,1400
onur,621,2098,1413,addition,3511,5,0,True,12800,1400
julia,560,93,28,addition,121,3,0,True,5200,4900
julia,526,92,97,addition,189,2,0,True,3700,1200
julia,551,80578,35,addition,80613,3,2,True,28500,2200
julia,791,960,480,subtraction,480,3,1,True,19000,1200
julia,784,233,226,subtraction,7,3,0,True,11800,1100
julia,112,51,3,division,17,3,0,True,5000,700
julia,796,94527,33100,subtraction,61427,3,0,True,13400,800
julia,346,23,8,multiplication,184,3,0,True,17500,1400
julia,806,55,38,subtraction,17,3,0,True,8900,1400
julia,805,610,20,subtraction,590,3,0,True,4500,900
julia,549,85,26,addition,111,3,0,True,5300,1600
julia,803,808,58,subtraction,750,3,0,True,4100,800
julia,344,25,8,multiplication,200,3,0,True,4700,600
julia,586,118,297,addition,415,4,0,True,8800,900
julia,590,3416,268,addition,3684,4,2,True,42600,1300
julia,333,63,5,multiplication,315,3,0,True,10400,1100
julia,151,8400,50,division,168,4,0,True,9000,1600
julia,393,149,7,multiplication,1043,5,2,True,75500,1300
julia,782,373,325,subtraction,48,3,0,True,5700,800
julia,140,9920,20,division,496,4,0,True,18600,700
julia,859,90899,2198,subtraction,88701,5,0,True,16400,1000
julia,335,310,4,multiplication,1240,3,0,True,5700,900
julia,592,8472,191,addition,8663,4,1,True,35600,700
julia,817,455,285,subtraction,170,4,1,True,26200,1400
julia,824,2818,2074,subtraction,744,4,0,True,27300,1300
julia,559,6053,92,addition,6145,3,0,True,10100,1000
julia,354,131,7,multiplication,917,4,0,True,17100,900
julia,118,140,5,division,28,3,0,True,3800,700
julia,597,7069,557,addition,7626,4,0,True,23000,800
julia,389,147,9,multiplication,1323,5,1,True,41000,1300
julia,546,64,48,addition,112,3,0,True,3400,800
julia,813,666,180,subtraction,486,4,0,True,11300,1400
julia,164,564,4,division,141,5,0,True,12700,1000
julia,313,23,3,multiplication,69,2,0,True,16900,1300
julia,558,49,97,addition,146,3,0,True,7800,700
julia,598,10397,780,addition,11177,4,0,True,23600,800
julia,185,161,7,division,23,5,0,True,15900,800
julia,154,620,5,division,124,4,0,True,14000,1000
julia,798,830,570,subtraction,260,3,0,True,15400,1000
julia,576,3253,84,addition,3337,4,2,True,65400,900
julia,327,16,5,multiplication,80,3,0,True,6800,2100
julia,829,919,139,subtraction,780,4,0,True,8900,1000
julia,567,2255,54,addition,2309,3,3,False,6600,600
julia,100,65,5,division,13,3,0,True,7900,700
julia,136,5400,1800,division,3,4,0,True,3100,1400
julia,173,9480,30,division,316,5,0,True,11500,700
julia,547,79,89,addition,168,3,1,True,11200,700
julia,787,98,19,subtraction,79,3,1,True,11000,600
julia,144,9320,20,division,466,4,0,True,17900,800
julia,616,67296,213,addition,67509,5,0,True,9000,700
julia,819,138,65,subtraction,73,4,0,True,16500,1100
julia,794,930,240,subtraction,690,3,3,False,3400,700
julia,512,66,81,addition,147,2,0,True,7300,1400
julia,323,22,7,multiplication,154,3,0,True,3800,1100
julia,138,450,6,division,75,4,0,True,6400,800
julia,184,132,6,division,22,5,0,True,4900,800
julia,403,15,86,multiplication,1290,5,0,True,19200,700
julia,315,81,7,multiplication,567,3,0,True,11800,2600
julia,825,465,92,subtraction,373,4,0,True,16500,900
julia,162,1044,3,division,348,5,0,True,18100,900
julia,192,2240,8,division,280,6,0,True,39100,800
julia,345,26,6,multiplication,156,3,0,True,20400,800
julia,786,97,59,subtraction,38,3,0,True,12000,1000
julia,156,1036,4,division,259,4,0,True,9100,900
julia,172,8960,2,division,4480,5,1,True,17200,700
julia,841,3284,311,subtraction,2973,5,0,True,20300,1000
julia,334,64,3,multiplication,192,3,1,True,18400,900
julia,338,126,3,multiplication,378,3,0,True,14300,600
julia,355,98,7,multiplication,686,4,0,True,20300,800
julia,187,225,9,division,25,5,0,True,28600,800
julia,206,324,6,division,54,6,0,True,17800,900
julia,326,16,4,multiplication,64,3,0,True,19200,1000
julia,550,30497,73,addition,30570,3,0,True,8000,800
julia,589,7227,717,addition,7944,4,0,True,10600,700
julia,629,43418,2476,addition,45894,5,0,True,18800,700
julia,418,167,6,multiplication,1002,6,0,True,9500,900
julia,351,124,4,multiplication,496,3,0,True,24200,1400
julia,569,34171,223,addition,34394,3,0,True,9600,800
julia,581,46271,2171,addition,48442,4,0,True,16500,1000
julia,113,68,4,division,17,3,0,True,8600,900
julia,147,640,5,division,128,4,0,True,3500,1000
julia,624,16841,2907,addition,19748,5,0,True,26500,1400
julia,424,175,7,multiplication,1225,6,0,True,16700,900
julia,322,23,4,multiplication,92,3,0,True,8500,1700
julia,357,146,6,multiplication,876,4,0,True,27700,700
julia,622,25485,223,addition,25708,5,0,True,14900,1300
julia,652,27236,4254,addition,31490,6,0,True,33900,9800
julia,328,17,2,multiplication,34,3,0,True,11600,1600
julia,358,157,6,multiplication,942,4,0,True,22600,1200
julia,843,78799,73043,subtraction,5756,5,1,True,53800,1200
julia,178,5600,1400,division,4,5,0,True,16300,1300
julia,343,42,8,multiplication,336,3,0,True,25100,800
julia,124,3720,20,division,186,3,0,True,17200,900
julia,141,3780,20,division,189,4,0,True,23900,1000
julia,608,99404,684,addition,100088,5,0,True,16600,18900
julia,570,36403,2056,addition,38459,3,3,False,5200,1000
julia,251,5,9,multiplication,45,1,3,False,4000,12400
julia,532,73,36,addition,109,2,3,False,5200,19700
julia,329,17,3,multiplication,51,3,3,False,3600,800
