session_id,taskID,first_number,second_number,operation,result,difficulty,tries,taskComplete,responseTime
onur,99,240,80,division,3,2,1,False,4000
onur,99,240,80,division,3,2,2,False,15800
onur,99,240,80,division,3,2,2,True,23400
onur,380,124,6,multiplication,744,4,1,False,10600
onur,380,124,6,multiplication,744,4,1,True,30400
onur,109,48,16,division,3,3,1,False,2600
onur,109,48,16,division,3,3,2,False,4300
onur,109,48,16,division,3,3,2,True,6500
onur,344,25,8,multiplication,200,3,0,True,7500
onur,828,284,111,subtraction,173,4,0,True,4900
onur,148,4400,5,division,880,4,1,False,24900
onur,148,4400,5,division,880,4,1,True,47600
onur,829,919,139,subtraction,780,4,1,False,7700
onur,829,919,139,subtraction,780,4,2,False,13600
onur,829,919,139,subtraction,780,4,3,False,20700
onur,361,156,8,multiplication,1248,4,1,False,31800
onur,361,156,8,multiplication,1248,4,2,False,54000
onur,361,156,8,multiplication,1248,4,2,True,69800
onur,565,139,504,addition,643,3,0,True,9200
onur,791,960,480,subtraction,480,3,0,True,5800
onur,563,5733,39,addition,5772,3,0,True,9000
onur,115,72,4,division,18,3,0,True,8500
onur,132,2200,5,division,440,4,1,False,10000
onur,132,2200,5,division,440,4,2,False,18100
onur,132,2200,5,division,440,4,2,True,47200
onur,355,98,7,multiplication,686,4,0,True,22000
onur,783,43,28,subtraction,15,3,1,False,3600
onur,783,43,28,subtraction,15,3,2,False,7700
onur,783,43,28,subtraction,15,3,3,False,11900
test,539,24,67,addition,91,2,1,False,8100
test,539,24,67,addition,91,2,2,False,12000
test,101,78,6,division,13,3,1,False,4600
test,101,78,6,division,13,3,2,False,6300
test,719,700,500,subtraction,200,1,1,False,2100
test,719,700,500,subtraction,200,1,2,False,2800
test,568,81180,49,addition,81229,3,1,False,2000
test,568,81180,49,addition,81229,3,2,False,3600
test,798,830,570,subtraction,260,3,1,False,1700
test,798,830,570,subtraction,260,3,2,False,2800
test,798,830,570,subtraction,260,3,1,False,6200
test,798,830,570,subtraction,260,3,2,False,7100
test,798,830,570,subtraction,260,3,1,False,3600
test,798,830,570,subtraction,260,3,2,False,4500
test,443,69,88,multiplication,6072,7,1,False,2100
test,443,69,88,multiplication,6072,7,2,False,4300
test,609,38806,228,addition,39034,5,0,True,15800
test,617,31647,2332,addition,33979,5,0,True,22700
test,811,381,109,subtraction,272,4,0,True,8600
test,162,1044,3,division,348,5,0,True,14700
test,815,234,56,subtraction,178,4,0,True,9100
test,394,136,8,multiplication,1088,5,1,False,12400
test,394,136,8,multiplication,1088,5,1,True,14000
test,137,8500,1700,division,5,4,0,True,3300
test,175,376,4,division,94,5,0,True,12900
test,405,14,52,multiplication,728,5,0,True,29200
test,588,8159,333,addition,8492,4,0,True,9000
test,861,64747,1834,subtraction,62913,5,0,True,28500
test,387,146,9,multiplication,1314,5,1,False,17700
test,387,146,9,multiplication,1314,5,1,True,32900
test,395,132,8,multiplication,1056,5,1,False,18000
test,395,132,8,multiplication,1056,5,2,False,23500
test,395,132,8,multiplication,1056,5,2,True,65500
test,863,56718,820,subtraction,55898,5,0,True,14800
test,831,33000,91,subtraction,32909,4,0,True,13200
test,852,65889,62154,subtraction,3735,5,0,True,15800
test,182,153,9,division,17,5,0,True,16300
test,383,143,7,multiplication,1001,5,0,True,9000
test,576,3253,84,addition,3337,4,0,True,11000
test,141,3780,20,division,189,4,0,True,17500
test,361,156,8,multiplication,1248,4,0,True,16600
test,822,11350,1322,subtraction,10028,4,0,True,15200
test,594,60559,406,addition,60965,4,1,False,11600
test,594,60559,406,addition,60965,4,2,False,20800
test,594,60559,406,addition,60965,4,2,True,36800
test,379,121,9,multiplication,1089,4,0,True,14600
test,373,96,6,multiplication,576,4,0,True,13100
test,837,812,43,subtraction,769,4,1,False,9900
test,837,812,43,subtraction,769,4,1,True,25500
test,583,1270,643,addition,1913,4,0,True,9600
test,839,825,676,subtraction,149,4,0,True,14000
test,362,162,7,multiplication,1134,4,0,True,15600
test,156,1036,4,division,259,4,0,True,10800
